sample_id,source_sheet,raw_voice_code,voice_type,class_label,class_id,raw_person_code,raw_singer_code,singer_id,piece_or_context_code,vowel_code,pitch_code,take,PHE,FHE,SC
S1-w035-Uebu-A-a1-1,Sop-dram,S1,soprano,dramatic,1,w035,S1-w035,soprano_dramatic_w035,Uebu,A,a1,1,24.1226,2831.0,2976.0
S1-w035-Uebu-A-c2-1,Sop-dram,S1,soprano,dramatic,1,w035,S1-w035,soprano_dramatic_w035,Uebu,A,c2,1,35.8754,3089.0,3140.9
S1-w035-Uebu-A-d2-1,Sop-dram,S1,soprano,dramatic,1,w035,S1-w035,soprano_dramatic_w035,Uebu,A,d2,1,26.704,2888.0,3133.2
S1-w035-Uebu-A-e2-1,Sop-dram,S1,soprano,dramatic,1,w035,S1-w035,soprano_dramatic_w035,Uebu,A,e2,1,40.7011,3196.0,3081.0
S1-w035-Uebu-A-es2-1,Sop-dram,S1,soprano,dramatic,1,w035,S1-w035,soprano_dramatic_w035,Uebu,A,es2,1,35.2233,3075.0,3026.6
S1-w035-Uebu-A-g1-1,Sop-dram,S1,soprano,dramatic,1,w035,S1-w035,soprano_dramatic_w035,Uebu,A,g1,1,26.2701,2878.0,3014.3
S1-w035-Uebu-A-h1-1,Sop-dram,S1,soprano,dramatic,1,w035,S1-w035,soprano_dramatic_w035,Uebu,A,h1,1,30.1194,2963.0,3067.9
S1-w035-Uebu-O-a1-1,Sop-dram,S1,soprano,dramatic,1,w035,S1-w035,soprano_dramatic_w035,Uebu,O,a1,1,30.4027,2969.0,3086.1
S1-w035-Uebu-O-a2-1,Sop-dram,S1,soprano,dramatic,1,w035,S1-w035,soprano_dramatic_w035,Uebu,O,a2,1,48.5405,3368.0,3300.3
S1-w035-Uebu-O-c2-1,Sop-dram,S1,soprano,dramatic,1,w035,S1-w035,soprano_dramatic_w035,Uebu,O,c2,1,38.4439,3146.0,3142.4
S1-w035-Uebu-O-d2-1,Sop-dram,S1,soprano,dramatic,1,w035,S1-w035,soprano_dramatic_w035,Uebu,O,d2,1,33.6438,3040.0,3058.7
S1-w035-Uebu-O-e2-1,Sop-dram,S1,soprano,dramatic,1,w035,S1-w035,soprano_dramatic_w035,Uebu,O,e2,1,41.7621,3219.0,3134.4
S1-w035-Uebu-O-es2-1,Sop-dram,S1,soprano,dramatic,1,w035,S1-w035,soprano_dramatic_w035,Uebu,O,es2,1,38.4998,3147.0,3062.5
S1-w035-Uebu-O-f2-1,Sop-dram,S1,soprano,dramatic,1,w035,S1-w035,soprano_dramatic_w035,Uebu,O,f2,1,44.2644,3274.0,3212.5
S1-w035-Uebu-O-fis2-1,Sop-dram,S1,soprano,dramatic,1,w035,S1-w035,soprano_dramatic_w035,Uebu,O,fis2,1,34.8919,3068.0,3196.9
S1-w035-Uebu-O-g1-1,Sop-dram,S1,soprano,dramatic,1,w035,S1-w035,soprano_dramatic_w035,Uebu,O,g1,1,32.6331,3018.0,3056.9
S1-w035-Uebu-O-g2-1,Sop-dram,S1,soprano,dramatic,1,w035,S1-w035,soprano_dramatic_w035,Uebu,O,g2,1,37.8891,3134.0,3206.0
S1-w035-Uebu-O-h1-1,Sop-dram,S1,soprano,dramatic,1,w035,S1-w035,soprano_dramatic_w035,Uebu,O,h1,1,32.2327,3009.0,3119.0
S1-w035-Uebu-O-h2-1,Sop-dram,S1,soprano,dramatic,1,w035,S1-w035,soprano_dramatic_w035,Uebu,O,h2,1,33.4135,3035.0,3264.9
S1-w005-BrWa-A-c2-1,Sop-dram,S1,soprano,dramatic,1,w005,S1-w005,soprano_dramatic_w005,BrWa,A,c2,1,28.5714,2929.0,3055.1
S1-w005-BrWa-A-d2-1,Sop-dram,S1,soprano,dramatic,1,w005,S1-w005,soprano_dramatic_w005,BrWa,A,d2,1,34.4482,3059.0,3100.6
S1-w005-BrWa-A-e2-2,Sop-dram,S1,soprano,dramatic,1,w005,S1-w005,soprano_dramatic_w005,BrWa,A,e2,2,21.8197,2780.0,3153.5
S1-w005-BrWa-A-f2-1,Sop-dram,S1,soprano,dramatic,1,w005,S1-w005,soprano_dramatic_w005,BrWa,A,f2,1,26.5393,2885.0,3077.8
S1-w005-BrWa-A-f2-2,Sop-dram,S1,soprano,dramatic,1,w005,S1-w005,soprano_dramatic_w005,BrWa,A,f2,2,22.2816,2791.0,3108.9
